"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AF000040930","1973-01-13","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -128","H,,S"
"AF000040930","1973-03-26","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"    0","H,,S"
"AF000040930","1973-05-21","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   35","H,,S"
"AF000040930","1973-06-11","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  200","H,,S"
"AF000040930","1973-08-29","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  115","H,,S"
"AF000040930","1973-10-10","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   32","H,,S"
"AF000040930","1973-10-31","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   20","H,,S"
"AF000040930","1973-11-08","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -20","H,,S"
"AF000040930","1973-11-15","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   20","H,,S"
"AF000040930","1973-11-18","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   20","H,,S"
"AF000040930","1973-11-20","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -10","H,,S"
"AF000040930","1973-11-25","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   -8","H,,S"
"AF000040930","1973-11-27","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,"    0",",,I",,,"  -62","H,,S"
"AF000040930","1973-12-06","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -53","H,,S"
"AF000040930","1973-12-09","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -80","H,,S"
"AF000040930","1973-12-10","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -88","H,,S"
"AF000040930","1973-12-12","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -103","H,,S"
"AF000040930","1973-12-13","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -83","H,,S"
"AF000040930","1973-12-16","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -98","H,,S"
"AF000040930","1973-12-23","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -143","H,,S"
"AF000040930","1973-12-27","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -90","H,,S"
"AF000040930","1974-01-11","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -168","H,,S"
"AF000040930","1974-01-15","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -98","H,,S"
"AF000040930","1974-01-16","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -96","H,,S"
"AF000040930","1974-01-19","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -102","H,,S"
"AF000040930","1974-01-30","35.317","69.017","3366.0","NORTH SALANG, AF",,,,," -100",",,I",,," -120","H,,S"
"AF000040930","1974-01-31","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -118","H,,S"
"AF000040930","1974-02-04","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -245","H,,S"
"AF000040930","1974-02-05","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -223","H,,S"
"AF000040930","1974-02-06","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -230","H,,S"
"AF000040930","1974-02-07","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -184","H,,S"
"AF000040930","1974-02-08","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -118","H,,S"
"AF000040930","1974-02-09","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -98","H,,S"
"AF000040930","1974-02-13","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -113","H,,S"
"AF000040930","1974-02-16","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -78","H,,S"
"AF000040930","1974-02-18","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,," -140",",,I","  -78","H,,S"
"AF000040930","1974-02-19","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -70","H,,S"
"AF000040930","1974-02-20","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -72","H,,S"
"AF000040930","1974-02-21","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -80","H,,S"
"AF000040930","1974-02-22","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -93","H,,S"
"AF000040930","1974-02-23","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,"  -70",",,I",,," -125","H,,S"
"AF000040930","1974-02-24","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -118","H,,S"
"AF000040930","1974-02-25","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,," -130","H,,S"
"AF000040930","1974-02-26","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -98","H,,S"
"AF000040930","1974-02-28","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -60","H,,S"
"AF000040930","1974-03-01","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -48","H,,S"
"AF000040930","1974-03-02","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -27","H,,S"
"AF000040930","1974-03-03","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -54","H,,S"
"AF000040930","1974-03-04","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -84","H,,S"
"AF000040930","1974-03-06","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -66","H,,S"
"AF000040930","1974-03-07","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,," -150",",,I","  -85","H,,S"
"AF000040930","1974-03-08","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -73","H,,S"
"AF000040930","1974-03-11","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -90","H,,S"
"AF000040930","1974-03-12","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -88","H,,S"
"AF000040930","1974-03-13","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -88","H,,S"
"AF000040930","1974-03-14","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -60","H,,S"
"AF000040930","1974-03-16","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -50","H,,S"
"AF000040930","1974-03-17","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -27","H,,S"
"AF000040930","1974-03-18","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"    6","H,,S"
"AF000040930","1974-03-21","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   43","H,,S"
"AF000040930","1974-03-22","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -20","H,,S"
"AF000040930","1974-03-25","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"    3","H,,S"
"AF000040930","1974-03-26","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,"  -10",",,I","   30","H,,S"
"AF000040930","1974-03-27","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   27","H,,S"
"AF000040930","1974-03-28","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   -6","H,,S"
"AF000040930","1974-03-29","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"    0","H,,S"
"AF000040930","1974-03-31","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"    0","H,,S"
"AF000040930","1974-04-02","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   -8","H,,S"
"AF000040930","1974-04-05","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"  -15","H,,S"
"AF000040930","1974-04-06","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   25","H,,S"
"AF000040930","1974-04-07","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,"  -30",",,I","  -12","H,,S"
"AF000040930","1974-04-19","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   48","H,,S"
"AF000040930","1974-04-20","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   60","H,,S"
"AF000040930","1974-04-21","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   48","H,,S"
"AF000040930","1974-04-24","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   60","H,,S"
"AF000040930","1974-04-25","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   52","H,,S"
"AF000040930","1974-04-26","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,"  110",",,I","    0",",,I","   36","H,,S"
"AF000040930","1974-04-27","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,"   70",",,I",,,"   22","H,,S"
"AF000040930","1974-04-29","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   20","H,,S"
"AF000040930","1974-05-01","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   22","H,,S"
"AF000040930","1974-05-04","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   43","H,,S"
"AF000040930","1974-05-05","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,"   90",",,I","  -10",",,I","   30","H,,S"
"AF000040930","1974-05-07","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   55","H,,S"
"AF000040930","1974-05-08","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   28","H,,S"
"AF000040930","1974-05-11","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   42","H,,S"
"AF000040930","1974-05-12","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   38","H,,S"
"AF000040930","1974-05-13","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   55","H,,S"
"AF000040930","1974-05-16","35.317","69.017","3366.0","NORTH SALANG, AF",,,,,,,,,"   25","H,,S"
