"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"ACW00011604","1949-01-01","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  289",",,X","  217",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-02","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   30",",,X","    0",",,X","    0",",,X","  289",",,X","  228",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-03","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  283",",,X","  222",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-04","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  283",",,X","  233",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-05","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   25",",,X","    0",",,X","    0",",,X","  289",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-06","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   41",",,X","    0",",,X","    0",",,X","  289",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-07","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  228",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-08","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  267",",,X","  217",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-09","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  272",",,X","  222",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-10","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  183",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-11","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   56",",,X","    0",",,X","    0",",,X","  267",",,X","  189",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-12","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  278",",,X","  194",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-13","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    8",",,X","    0",",,X","    0",",,X","  267",",,X","  161",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-14","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  183",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-15","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  178",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-16","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  222",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-17","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  211",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-18","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  272",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-19","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    3",",,X","    0",",,X","    0",",,X","  272",",,X","  194",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-20","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  272",",,X","  217",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-21","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   51",",,X","    0",",,X","    0",",,X","  278",",,X","  217",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-22","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  272",",,X","  217",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-23","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   53",",,X","    0",",,X","    0",",,X","  267",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-24","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  211",",,X",,,,,,,,,,,,
"ACW00011604","1949-01-25","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   10",",,X","    0",",,X","    0",",,X","  267",",,X","  200",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-26","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   15",",,X","    0",",,X","    0",",,X","  278",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-27","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   41",",,X","    0",",,X","    0",",,X","  272",",,X","  217",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-28","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  272",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-29","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   86",",,X","    0",",,X","    0",",,X","  272",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-30","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   28",",,X","    0",",,X","    0",",,X","  272",",,X","  206",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-01-31","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   15",",,X","    0",",,X","    0",",,X","  272",",,X","  217",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-01","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  211",",,X"," 1300",",,X","   68","W,,X","  125",",,X",,,,,"    1",",,X"
"ACW00011604","1949-02-02","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   15",",,X","    0",",,X","    0",",,X","  278",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-03","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  272",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-04","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   64",",,X","    0",",,X","    0",",,X","  267",",,X","  206",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-05","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   53",",,X","    0",",,X","    0",",,X","  278",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-06","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    5",",,X","    0",",,X","    0",",,X","  278",",,X","  233",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-07","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    3",",,X","    0",",,X","    0",",,X","  278",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-08","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   18",",,X","    0",",,X","    0",",,X","  267",",,X","  233",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-09","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   41",",,X","    0",",,X","    0",",,X","  278",",,X","  206",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-10","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   18",",,X","    0",",,X","    0",",,X","  267",",,X","  211",",,X"," 0624",",,X","   68","W,,X","  107",",,X",,,,,"    1",",,X"
"ACW00011604","1949-02-11","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   13",",,X","    0",",,X","    0",",,X","  272",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-12","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   46",",,X","    0",",,X","    0",",,X","  267",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-13","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    8",",,X","    0",",,X","    0",",,X","  261",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-14","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  261",",,X","  217",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-15","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   30",",,X","    0",",,X","    0",",,X","  261",",,X","  206",",,X"," 0724",",,X","   68","W,,X","  134",",,X",,,,,"    1",",,X"
"ACW00011604","1949-02-16","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   15",",,X","    0",",,X","    0",",,X","  267",",,X","  200",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-17","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  278",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-18","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  272",",,X","  228",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-19","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    5",",,X","    0",",,X","    0",",,X","  278",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-20","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   69",",,X","    0",",,X","    0",",,X","  278",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-21","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0","T,,X","    0",",,X","    0",",,X","  283",",,X","  217",",,X"," 0824",",,X","  113","W,,X","  148",",,X",,,,,"    1",",,X"
"ACW00011604","1949-02-22","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   89",",,X","    0",",,X","    0",",,X","  272",",,X","  200",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-23","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  272",",,X","  211",",,X",,,,,,,,,,,,
"ACW00011604","1949-02-24","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  211",",,X",,,,,,,,,,,,
"ACW00011604","1949-02-25","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   18",",,X","    0",",,X","    0",",,X","  267",",,X","  200",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-02-26","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  211",",,X",,,,,,,,,,,,
"ACW00011604","1949-02-27","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  267",",,X","  217",",,X",,,,,,,,,,,,
"ACW00011604","1949-02-28","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    5",",,X","    0",",,X","    0",",,X","  272",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-03-01","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  272",",,X","  211",",,X",,,,,,,,,,,,
"ACW00011604","1949-03-02","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  289",",,X","  206",",,X",,,,,,,,,"    1",",,X",,
"ACW00011604","1949-03-03","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    5",",,X","    0",",,X","    0",",,X","  278",",,X","  222",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-03-04","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   71",",,X","    0",",,X","    0",",,X","  278",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-03-05","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  228",",,X",,,,,,,,,,,,
"ACW00011604","1949-03-06","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","   25",",,X","    0",",,X","    0",",,X","  278",",,X","  211",",,X",,,,,,,,,,,"    1",",,X"
"ACW00011604","1949-03-07","17.11667","-61.78333","10.1","ST JOHNS COOLIDGE FIELD, AC","    0",",,X","    0",",,X","    0",",,X","  289",",,X","  211",",,X",,,,,,,,,,,,
