"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"ACW00011647","1957-09-01","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-02","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-03","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-04","17.13333","-61.78333","19.2","ST JOHNS, AC","    3",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-05","17.13333","-61.78333","19.2","ST JOHNS, AC","   15",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-06","17.13333","-61.78333","19.2","ST JOHNS, AC","    8",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-07","17.13333","-61.78333","19.2","ST JOHNS, AC","  107",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-08","17.13333","-61.78333","19.2","ST JOHNS, AC","    5",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-09","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-10","17.13333","-61.78333","19.2","ST JOHNS, AC","  157",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-11","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-12","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-13","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-14","17.13333","-61.78333","19.2","ST JOHNS, AC","   13",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-15","17.13333","-61.78333","19.2","ST JOHNS, AC","   28",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-16","17.13333","-61.78333","19.2","ST JOHNS, AC","    8",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-17","17.13333","-61.78333","19.2","ST JOHNS, AC","    0","T,,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-18","17.13333","-61.78333","19.2","ST JOHNS, AC","    5",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-19","17.13333","-61.78333","19.2","ST JOHNS, AC","   28",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-20","17.13333","-61.78333","19.2","ST JOHNS, AC","   43",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-21","17.13333","-61.78333","19.2","ST JOHNS, AC","    0","T,,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-22","17.13333","-61.78333","19.2","ST JOHNS, AC","   10",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-23","17.13333","-61.78333","19.2","ST JOHNS, AC","    3",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-24","17.13333","-61.78333","19.2","ST JOHNS, AC","  521",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-25","17.13333","-61.78333","19.2","ST JOHNS, AC","    8",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-26","17.13333","-61.78333","19.2","ST JOHNS, AC","   71",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-27","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-28","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-29","17.13333","-61.78333","19.2","ST JOHNS, AC","    0","T,,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-09-30","17.13333","-61.78333","19.2","ST JOHNS, AC","    3",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-10-01","17.13333","-61.78333","19.2","ST JOHNS, AC","    0","T,,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-10-02","17.13333","-61.78333","19.2","ST JOHNS, AC","  335",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-10-03","17.13333","-61.78333","19.2","ST JOHNS, AC","   13",",,X","    0",",,X","    0",",,X",,,,,,,,
"ACW00011647","1957-10-04","17.13333","-61.78333","19.2","ST JOHNS, AC","    0",",,X","    0",",,X","    0",",,X",,,,,,,,
