"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AE000041196","1944-03-20","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  380",",,I","  191",",,I","  292","H,,S"
"AE000041196","1944-03-21","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  346",",,I","  174",",,I","  274","H,,S"
"AE000041196","1944-03-22","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  319",",,I","  174",",,I","  242","H,,S"
"AE000041196","1944-03-23","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  302",",,I","  202",",,I","  250","H,,S"
"AE000041196","1944-03-24","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  296",",,I","  230",",,I","  263","H,,S"
"AE000041196","1944-03-25","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  308",",,I","  174",",,I","  257","H,,S"
"AE000041196","1944-03-26","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  291",",,I","  169",",,I","  233","H,,S"
"AE000041196","1944-03-27","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  296",",,I","  141",",,I","  239","H,,S"
"AE000041196","1944-03-28","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  296",",,I","  130",",,I","  217","H,,S"
"AE000041196","1944-03-29","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  335",",,I",,,"  245","H,,S"
"AE000041196","1944-03-30","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  396",",,I","  230",",,I","  292","H,,S"
"AE000041196","1944-03-31","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  313",",,I","  202",",,I","  260","H,,S"
"AE000041196","1944-04-01","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  258",",,I","  180",",,I","  224","H,,S"
"AE000041196","1944-04-02","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  263",",,I","  180",",,I","  227","H,,S"
"AE000041196","1944-04-03","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  258",",,I","  163",",,I","  216","H,,S"
"AE000041196","1944-04-04","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  263",",,I","  146",",,I","  210","H,,S"
"AE000041196","1944-04-05","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  296",",,I","  135",",,I","  218","H,,S"
"AE000041196","1944-04-06","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  302",",,I",,,"  228","H,,S"
"AE000041196","1944-04-07","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  358",",,I",,,"  246","H,,S"
"AE000041196","1944-04-08","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  391",",,I","  196",",,I","  276","H,,S"
"AE000041196","1944-04-09","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  380",",,I","  235",",,I","  288","H,,S"
"AE000041196","1944-04-10","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  308",",,I","  213",",,I","  261","H,,S"
"AE000041196","1944-04-11","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  291",",,I","  163",",,I","  240","H,,S"
"AE000041196","1944-04-12","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  274",",,I",,,"  227","H,,S"
"AE000041196","1944-04-13","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  280",",,I","  180",",,I","  231","H,,S"
"AE000041196","1944-04-14","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  369",",,I","  174",",,I","  244","H,,S"
"AE000041196","1944-04-15","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  330",",,I",,,"  265","H,,S"
"AE000041196","1944-04-16","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  335",",,I","  196",",,I","  271","H,,S"
"AE000041196","1944-04-17","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  385",",,I","  241",",,I","  297","H,,S"
"AE000041196","1944-04-18","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  385",",,I","  235",",,I","  291","H,,S"
"AE000041196","1944-04-19","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  374",",,I","  208",",,I","  286","H,,S"
"AE000041196","1944-04-20","25.333","55.517","34.0","SHARJAH INTER. AIRP, AE","    0",",,I","  374",",,I","  196",",,I","  270","H,,S"
