"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AEM00041217","1983-01-02","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  298",",,S","  139",",,S","  172","H,,S"
"AEM00041217","1983-01-04","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,"  148",",,S","  196","H,,S"
"AEM00041217","1983-01-06","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  225",",,S","  126",",,S","  194","H,,S"
"AEM00041217","1983-01-07","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  223",",,S","  155",",,S","  192","H,,S"
"AEM00041217","1983-01-09","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  176","H,,S"
"AEM00041217","1983-01-10","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  217",",,S",,,"  166","H,,S"
"AEM00041217","1983-01-11","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  201",",,S","  141",",,S","  178","H,,S"
"AEM00041217","1983-01-12","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  213",",,S","   96",",,S","  157","H,,S"
"AEM00041217","1983-01-13","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,"  100",",,S","  156","H,,S"
"AEM00041217","1983-01-14","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  223",",,S","   92",",,S","  152","H,,S"
"AEM00041217","1983-01-15","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  178","H,,S"
"AEM00041217","1983-01-17","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  207",",,S","   95",",,S","  147","H,,S"
"AEM00041217","1983-01-18","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  249",",,S","   83",",,S","  174","H,,S"
"AEM00041217","1983-01-19","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  273",",,S",,,"  187","H,,S"
"AEM00041217","1983-01-20","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  221",",,S",,,"  157","H,,S"
"AEM00041217","1983-01-21","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  186",",,S",,,"  151","H,,S"
"AEM00041217","1983-01-22","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  199",",,S","  138",",,S","  165","H,,S"
"AEM00041217","1983-01-23","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  222",",,S","  104",",,S","  161","H,,S"
"AEM00041217","1983-01-24","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  239",",,S","  120",",,S","  181","H,,S"
"AEM00041217","1983-01-25","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  196",",,S",,,"  171","H,,S"
"AEM00041217","1983-01-26","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  196",",,S","  141",",,S","  164","H,,S"
"AEM00041217","1983-01-27","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  200",",,S","  122",",,S","  162","H,,S"
"AEM00041217","1983-01-28","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  206",",,S","   98",",,S","  157","H,,S"
"AEM00041217","1983-01-29","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  204",",,S","  115",",,S","  160","H,,S"
"AEM00041217","1983-01-30","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  161","H,,S"
"AEM00041217","1983-01-31","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,"  136",",,S","  158","H,,S"
"AEM00041217","1983-02-02","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  148","H,,S"
"AEM00041217","1983-02-03","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  143","H,,S"
"AEM00041217","1983-02-04","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,"  126",",,S","  146","H,,S"
"AEM00041217","1983-02-05","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  198",",,S","   98",",,S","  157","H,,S"
"AEM00041217","1983-02-06","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  155","H,,S"
"AEM00041217","1983-02-07","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  227",",,S","  120",",,S","  171","H,,S"
"AEM00041217","1983-02-08","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  214",",,S","  122",",,S","  170","H,,S"
"AEM00041217","1983-02-09","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  210",",,S","  139",",,S","  172","H,,S"
"AEM00041217","1983-02-10","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  206",",,S","  127",",,S","  173","H,,S"
"AEM00041217","1983-02-11","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  191",",,S",,,"  171","H,,S"
"AEM00041217","1983-02-12","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  190",",,S","  148",",,S","  165","H,,S"
"AEM00041217","1983-02-13","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  196",",,S",,,"  162","H,,S"
"AEM00041217","1983-02-14","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  195",",,S","  104",",,S","  149","H,,S"
"AEM00041217","1983-02-15","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  217",",,S","   91",",,S","  151","H,,S"
"AEM00041217","1983-02-16","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  231",",,S",,,"  175","H,,S"
"AEM00041217","1983-02-17","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  281",",,S","  124",",,S","  211","H,,S"
"AEM00041217","1983-02-18","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  266",",,S","  171",",,S","  208","H,,S"
"AEM00041217","1983-02-19","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  296",",,S","  181",",,S","  229","H,,S"
"AEM00041217","1983-02-20","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  298",",,S","  152",",,S","  221","H,,S"
"AEM00041217","1983-02-21","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  324",",,S","  128",",,S","  219","H,,S"
"AEM00041217","1983-02-22","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  242",",,S","  172",",,S","  204","H,,S"
"AEM00041217","1983-02-24","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  198",",,S",,,"  153","H,,S"
"AEM00041217","1983-02-27","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,"  171",",,S","  252","H,,S"
"AEM00041217","1983-03-04","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  265",",,S","   90",",,S","  195","H,,S"
"AEM00041217","1983-03-05","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  312",",,S",,,"  208","H,,S"
"AEM00041217","1983-03-06","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  256","H,,S"
"AEM00041217","1983-03-08","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  195",",,S","  136",",,S","  161","H,,S"
"AEM00041217","1983-03-10","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,"  151",",,S","  194","H,,S"
"AEM00041217","1983-03-11","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,,,,,"  175","H,,S"
"AEM00041217","1983-03-12","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  232",",,S","  124",",,S","  184","H,,S"
"AEM00041217","1983-03-13","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  232",",,S","  172",",,S","  194","H,,S"
"AEM00041217","1983-03-14","24.433","54.651","26.8","ABU DHABI INTERNATIONAL, AE",,,"  246",",,S","  153",",,S","  196","H,,S"
