"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AFM00040938","1973-01-02","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  -86","H,,S"
"AFM00040938","1973-01-03","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  -80","H,,S"
"AFM00040938","1973-01-04","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  -45","H,,S"
"AFM00040938","1973-01-08","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  -28","H,,S"
"AFM00040938","1973-01-10","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   -5","H,,S"
"AFM00040938","1973-01-11","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   -5","H,,S"
"AFM00040938","1973-01-13","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   12","H,,S"
"AFM00040938","1973-01-15","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   57","H,,S"
"AFM00040938","1973-01-16","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   90","H,,S"
"AFM00040938","1973-01-17","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   70","H,,S"
"AFM00040938","1973-01-18","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   -6","H,,S"
"AFM00040938","1973-01-19","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   -8","H,,S"
"AFM00040938","1973-01-20","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  -33","H,,S"
"AFM00040938","1973-01-23","34.21","62.228","977.2","HERAT, AF",,,,,"   40",",,S",,,"   -5","H,,S"
"AFM00040938","1973-01-24","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  -25","H,,S"
"AFM00040938","1973-01-29","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   25","H,,S"
"AFM00040938","1973-01-30","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   32","H,,S"
"AFM00040938","1973-01-31","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   25","H,,S"
"AFM00040938","1973-02-10","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   85","H,,S"
"AFM00040938","1973-02-11","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   92","H,,S"
"AFM00040938","1973-02-12","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   97","H,,S"
"AFM00040938","1973-02-13","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  108","H,,S"
"AFM00040938","1973-02-14","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   72","H,,S"
"AFM00040938","1973-02-20","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  153","H,,S"
"AFM00040938","1973-02-25","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   50","H,,S"
"AFM00040938","1973-02-28","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   98","H,,S"
"AFM00040938","1973-03-04","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  190","H,,S"
"AFM00040938","1973-03-06","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  145","H,,S"
"AFM00040938","1973-03-07","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  125","H,,S"
"AFM00040938","1973-03-08","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   72","H,,S"
"AFM00040938","1973-03-12","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   48","H,,S"
"AFM00040938","1973-03-13","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   68","H,,S"
"AFM00040938","1973-03-14","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  120","H,,S"
"AFM00040938","1973-03-18","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  120","H,,S"
"AFM00040938","1973-03-21","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  154","H,,S"
"AFM00040938","1973-03-22","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  165","H,,S"
"AFM00040938","1973-03-23","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  182","H,,S"
"AFM00040938","1973-03-24","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  102","H,,S"
"AFM00040938","1973-03-26","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   85","H,,S"
"AFM00040938","1973-03-27","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   72","H,,S"
"AFM00040938","1973-03-28","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  128","H,,S"
"AFM00040938","1973-03-30","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"   68","H,,S"
"AFM00040938","1973-04-01","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  155","H,,S"
"AFM00040938","1973-04-05","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  193","H,,S"
"AFM00040938","1973-04-07","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  152","H,,S"
"AFM00040938","1973-04-08","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  208","H,,S"
"AFM00040938","1973-04-09","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  203","H,,S"
"AFM00040938","1973-04-10","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  166","H,,S"
"AFM00040938","1973-04-11","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  155","H,,S"
"AFM00040938","1973-04-12","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  138","H,,S"
"AFM00040938","1973-04-14","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  135","H,,S"
"AFM00040938","1973-04-15","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  160","H,,S"
"AFM00040938","1973-04-18","34.21","62.228","977.2","HERAT, AF",,,,,,,,,"  195","H,,S"
