"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AG000060611","1958-10-01","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  363",",,G","  189",",,G",,
"AG000060611","1958-10-02","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  383",",,G","  166",",,G",,
"AG000060611","1958-10-03","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  383",",,G","  188",",,G",,
"AG000060611","1958-10-04","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  383",",,G","  182",",,G",,
"AG000060611","1958-10-05","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  375",",,G","  176",",,G",,
"AG000060611","1958-10-06","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  362",",,G","  195",",,G",,
"AG000060611","1958-10-07","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  361",",,G","  182",",,G",,
"AG000060611","1958-10-08","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  366",",,G","  180",",,G",,
"AG000060611","1958-10-09","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  349",",,G","  162",",,G",,
"AG000060611","1958-10-10","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  308",",,G","  186",",,G",,
"AG000060611","1958-10-11","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  298",",,G","  145",",,G",,
"AG000060611","1958-10-12","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  310",",,G","  137",",,G",,
"AG000060611","1958-10-13","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  300",",,G","  163",",,G",,
"AG000060611","1958-10-14","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  307",",,G","  119",",,G",,
"AG000060611","1958-10-15","28.05","9.6331","561.0","IN AMENAS, AG","    0",",,I",,,"  329",",,G","  137",",,G",,
