"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AG000060680","1940-01-01","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  216",",,G","   45",",,G",,
"AG000060680","1940-01-02","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  221",",,G","   62",",,G",,
"AG000060680","1940-01-03","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  238",",,G","   60",",,G",,
"AG000060680","1940-01-04","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  242",",,G","   54",",,G",,
"AG000060680","1940-01-05","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  224",",,G","   53",",,G",,
"AG000060680","1940-01-06","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  218",",,G","   46",",,G",,
"AG000060680","1940-01-07","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  226",",,G","   25",",,G",,
"AG000060680","1940-01-08","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  213",",,G","   59",",,G",,
"AG000060680","1940-01-09","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  193",",,G","   63",",,G",,
"AG000060680","1940-01-10","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  199",",,G","   48",",,G",,
"AG000060680","1940-01-11","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  181",",,G","    1",",,G",,
"AG000060680","1940-01-12","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  190",",,G","   93",",,G",,
"AG000060680","1940-01-13","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  230",",,G","   37",",,G",,
"AG000060680","1940-01-14","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  216",",,G","   22",",,G",,
"AG000060680","1940-01-15","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  202",",,G","   46",",,G",,
"AG000060680","1940-01-16","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  234",",,G","   24",",,G",,
"AG000060680","1940-01-17","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  234",",,G","   49",",,G",,
"AG000060680","1940-01-18","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  218",",,G","   29",",,G",,
"AG000060680","1940-01-19","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  224",",,G","   65",",,G",,
"AG000060680","1940-01-20","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  210",",,G","   64",",,G",,
"AG000060680","1940-01-21","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  214",",,G","   35",",,G",,
"AG000060680","1940-01-22","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  210",",,G","   34",",,G",,
"AG000060680","1940-01-23","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  179",",,G","   23",",,G",,
"AG000060680","1940-01-24","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  170",",,G","   76",",,G",,
"AG000060680","1940-01-25","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  180",",,G","   -4",",,G",,
"AG000060680","1940-01-26","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  186",",,G","    0",",,G",,
"AG000060680","1940-01-27","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  170",",,G","   19",",,G",,
"AG000060680","1940-01-28","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  160",",,G","   21",",,G",,
"AG000060680","1940-01-29","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  192",",,G","    1",",,G",,
"AG000060680","1940-01-30","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  178",",,G","   61",",,G",,
"AG000060680","1940-01-31","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  178",",,G","   65",",,G",,
"AG000060680","1940-02-01","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  199",",,G","    8",",,G",,
"AG000060680","1940-02-02","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  214",",,G","   29",",,G",,
"AG000060680","1940-02-03","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  231",",,G","   47",",,G",,
"AG000060680","1940-02-04","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  230",",,G","   62",",,G",,
"AG000060680","1940-02-05","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  220",",,G","   30",",,G",,
"AG000060680","1940-02-06","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  160",",,G","   22",",,G",,
"AG000060680","1940-02-07","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  195",",,G","  -19",",,G",,
"AG000060680","1940-02-08","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  224",",,G","   30",",,G",,
"AG000060680","1940-02-09","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  206",",,G","   68",",,G",,
"AG000060680","1940-02-10","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  220",",,G","   73",",,G",,
"AG000060680","1940-02-11","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  232",",,G","   36",",,G",,
"AG000060680","1940-02-12","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  250",",,G","   60",",,G",,
"AG000060680","1940-02-13","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  254",",,G","   59",",,G",,
"AG000060680","1940-02-14","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  250",",,G","   43",",,G",,
"AG000060680","1940-02-15","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  232",",,G","   80",",,G",,
"AG000060680","1940-02-16","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  230",",,G","   69",",,G",,
"AG000060680","1940-02-17","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  236",",,G","   50",",,G",,
"AG000060680","1940-02-18","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  240",",,G","   32",",,G",,
"AG000060680","1940-02-19","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  250",",,G","   72",",,G",,
"AG000060680","1940-02-20","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  252",",,G","  104",",,G",,
"AG000060680","1940-02-21","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  250",",,G","   86",",,G",,
"AG000060680","1940-02-22","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  250",",,G","   70",",,G",,
"AG000060680","1940-02-23","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  251",",,G","   68",",,G",,
"AG000060680","1940-02-24","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  240",",,G","   95",",,G",,
"AG000060680","1940-02-25","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  234",",,G","  112",",,G",,
"AG000060680","1940-02-26","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  203",",,G","   87",",,G",,
"AG000060680","1940-02-27","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  253",",,G","   90",",,G",,
"AG000060680","1940-02-28","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  231",",,G","  102",",,G",,
"AG000060680","1940-02-29","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  226",",,G","  128",",,G",,
"AG000060680","1940-03-01","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  256",",,G","  112",",,G",,
"AG000060680","1940-03-02","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  286",",,G","  116",",,G",,
"AG000060680","1940-03-03","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  270",",,G","  125",",,G",,
"AG000060680","1940-03-04","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  266",",,G","  140",",,G",,
"AG000060680","1940-03-05","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  270",",,G","  106",",,G",,
"AG000060680","1940-03-06","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  278",",,G","  124",",,G",,
"AG000060680","1940-03-07","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  272",",,G","  113",",,G",,
"AG000060680","1940-03-08","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  285",",,G","  141",",,G",,
"AG000060680","1940-03-09","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  271",",,G","  113",",,G",,
"AG000060680","1940-03-10","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  241",",,G","   66",",,G",,
"AG000060680","1940-03-11","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  254",",,G","   94",",,G",,
"AG000060680","1940-03-12","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  258",",,G","  100",",,G",,
"AG000060680","1940-03-13","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  267",",,G","   92",",,G",,
"AG000060680","1940-03-14","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  266",",,G","  100",",,G",,
"AG000060680","1940-03-15","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  270",",,G","   96",",,G",,
"AG000060680","1940-03-16","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  266",",,G","   96",",,G",,
"AG000060680","1940-03-17","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  264",",,G","  106",",,G",,
"AG000060680","1940-03-18","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  252",",,G","  129",",,G",,
"AG000060680","1940-03-19","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  250",",,G","   76",",,G",,
"AG000060680","1940-03-20","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  264",",,G","   92",",,G",,
"AG000060680","1940-03-21","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  260",",,G","  102",",,G",,
"AG000060680","1940-03-22","22.8","5.4331","1362.0","TAMANRASSET, AG","    0",",,I","  264",",,G","  110",",,G",,
