"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AGE00147708","1879-01-04","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-06","36.72","4.05","222.0","TIZI OUZOU, AG","   40",",,E",,,,,,,,
"AGE00147708","1879-01-07","36.72","4.05","222.0","TIZI OUZOU, AG","  200",",,E",,,,,,,,
"AGE00147708","1879-01-08","36.72","4.05","222.0","TIZI OUZOU, AG","   10",",,E",,,,,,,,
"AGE00147708","1879-01-09","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-11","36.72","4.05","222.0","TIZI OUZOU, AG","  110",",,E",,,,,,,,
"AGE00147708","1879-01-12","36.72","4.05","222.0","TIZI OUZOU, AG","   32",",,E",,,,,,,,
"AGE00147708","1879-01-13","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-14","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-15","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-17","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-18","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-19","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-20","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-22","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-23","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
"AGE00147708","1879-01-24","36.72","4.05","222.0","TIZI OUZOU, AG","    0",",,E",,,,,,,,
