"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AGE00147709","1879-01-04","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-06","36.63","4.2","942.0","FORT NATIONAL, AG","   40",",,E",,,,
"AGE00147709","1879-01-07","36.63","4.2","942.0","FORT NATIONAL, AG","  200",",,E",,,,
"AGE00147709","1879-01-08","36.63","4.2","942.0","FORT NATIONAL, AG","   10",",,E",,,,
"AGE00147709","1879-01-09","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-11","36.63","4.2","942.0","FORT NATIONAL, AG","  110",",,E",,,,
"AGE00147709","1879-01-12","36.63","4.2","942.0","FORT NATIONAL, AG","   33",",,E",,,,
"AGE00147709","1879-01-13","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-14","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-15","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-17","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-18","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-19","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-20","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-22","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-23","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-24","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-25","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-26","36.63","4.2","942.0","FORT NATIONAL, AG","   70",",,E",,,,
"AGE00147709","1879-01-27","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-28","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-01-29","36.63","4.2","942.0","FORT NATIONAL, AG","   10",",,E",,,,
"AGE00147709","1879-01-30","36.63","4.2","942.0","FORT NATIONAL, AG","  130",",,E",,,,
"AGE00147709","1879-01-31","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-01","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-02","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-03","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-04","36.63","4.2","942.0","FORT NATIONAL, AG","   40",",,E",,,,
"AGE00147709","1879-02-05","36.63","4.2","942.0","FORT NATIONAL, AG","  190",",,E",,,,
"AGE00147709","1879-02-06","36.63","4.2","942.0","FORT NATIONAL, AG","   80",",,E",,,,
"AGE00147709","1879-02-07","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-08","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-09","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-10","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-11","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-13","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-14","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
"AGE00147709","1879-02-15","36.63","4.2","942.0","FORT NATIONAL, AG","    0",",,E",,,,
