"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AGM00060415","2003-03-30","36.317","3.533","748.0","AIN BESSAM, AG","    3",",,S",,,"  157",",,S","  110",",,S","  139","H,,S"
"AGM00060415","2003-03-31","36.317","3.533","748.0","AIN BESSAM, AG","   41",",,S",,,"  170",",,S","   75",",,S","  120","H,,S"
"AGM00060415","2003-04-01","36.317","3.533","748.0","AIN BESSAM, AG","   20",",,S",,,"  130",",,S","   76",",,S","  107","H,,S"
"AGM00060415","2003-04-02","36.317","3.533","748.0","AIN BESSAM, AG","    0",",,S",,,"  155",",,S","   60",",I,S","  112","H,,S"
"AGM00060415","2003-04-03","36.317","3.533","748.0","AIN BESSAM, AG","  160",",,S","   30",",,S","   46",",I,S",,,"   14","H,,S"
"AGM00060415","2003-04-04","36.317","3.533","748.0","AIN BESSAM, AG","  259",",,S",,,"   70",",,S","    0",",,S","   62","H,,S"
"AGM00060415","2003-04-05","36.317","3.533","748.0","AIN BESSAM, AG","  150",",,S",,,"   77",",,S","   52",",,S","   67","H,,S"
"AGM00060415","2003-04-06","36.317","3.533","748.0","AIN BESSAM, AG","   79",",,S",,,"  154",",,S","   16",",,S","   98","H,,S"
"AGM00060415","2003-04-07","36.317","3.533","748.0","AIN BESSAM, AG","    0",",,S",,,"  182",",,S","   56",",,S","  138","H,,S"
"AGM00060415","2003-04-08","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  214",",,S","   62",",,S","  164","H,,S"
"AGM00060415","2003-04-09","36.317","3.533","748.0","AIN BESSAM, AG","   20",",,S",,,"  221",",,S","  106",",,S","  174","H,,S"
"AGM00060415","2003-04-11","36.317","3.533","748.0","AIN BESSAM, AG","    8",",,S",,,,,"   67",",,S","  149","H,,S"
"AGM00060415","2003-04-12","36.317","3.533","748.0","AIN BESSAM, AG","    0",",,S",,,,,"  108",",,S","  165","H,,S"
"AGM00060415","2003-04-14","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  195",",,S","  114",",,S","  158","H,,S"
"AGM00060415","2003-04-15","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  121",",,S","  102",",,S","  109","H,,S"
"AGM00060415","2003-04-16","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  130",",,S","   85",",,S","  108","H,,S"
"AGM00060415","2003-04-17","36.317","3.533","748.0","AIN BESSAM, AG","   30",",,S",,,,,"   95",",,S","  113","H,,S"
"AGM00060415","2003-04-18","36.317","3.533","748.0","AIN BESSAM, AG","    0",",,S",,,"  172",",,S","   55",",,S","  132","H,,S"
"AGM00060415","2003-04-19","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  155",",,S","   95",",,S","  126","H,,S"
"AGM00060415","2003-04-20","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  196",",,S","   78",",,S","  147","H,,S"
"AGM00060415","2003-04-21","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  184",",,S","   67",",,S","  142","H,,S"
"AGM00060415","2003-04-22","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  220",",,S","   85",",,S","  171","H,,S"
"AGM00060415","2003-04-23","36.317","3.533","748.0","AIN BESSAM, AG","   89",",,S",,,"  147",",,S","   80",",,S","  115","H,,S"
"AGM00060415","2003-05-01","36.317","3.533","748.0","AIN BESSAM, AG",,,,,,,,,"  223","H,,S"
"AGM00060415","2003-05-03","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  245",",,S","  119",",,S","  186","H,,S"
"AGM00060415","2003-05-04","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  290",",,S","  130",",,S","  231","H,,S"
"AGM00060415","2003-05-06","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  164",",,S",,,"  131","H,,S"
"AGM00060415","2003-05-07","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  227",",,S","   74",",,S","  163","H,,S"
"AGM00060415","2003-05-08","36.317","3.533","748.0","AIN BESSAM, AG",,,,,,,"  100",",,S","  168","H,,S"
"AGM00060415","2003-05-10","36.317","3.533","748.0","AIN BESSAM, AG","   10",",,S",,,"  160",",,S","  110",",,S","  141","H,,S"
"AGM00060415","2003-05-11","36.317","3.533","748.0","AIN BESSAM, AG","    0",",,S",,,"  226",",,S","   88",",,S","  178","H,,S"
"AGM00060415","2003-05-12","36.317","3.533","748.0","AIN BESSAM, AG",,,,,"  240",",,S","  121",",,S","  188","H,,S"
