"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AGM00060471","2003-11-18","35.333","5.333","461.0","BARIKA, AG",,,,,"  119",",,S","  150","H,,S"
"AGM00060471","2003-11-19","35.333","5.333","461.0","BARIKA, AG","   20",",,S",,,"   91",",,S","  158","H,,S"
"AGM00060471","2003-11-20","35.333","5.333","461.0","BARIKA, AG","   20",",,S","  184",",,S","  120",",,S","  141","H,,S"
"AGM00060471","2003-11-22","35.333","5.333","461.0","BARIKA, AG","   10",",,S","  190",",,S","   67",",,S","  143","H,,S"
"AGM00060471","2003-11-27","35.333","5.333","461.0","BARIKA, AG",,,"  144",",,S","   37",",,S","   92","H,,S"
"AGM00060471","2003-11-28","35.333","5.333","461.0","BARIKA, AG",,,"  155",",,S","   38",",,S","  105","H,,S"
"AGM00060471","2003-11-29","35.333","5.333","461.0","BARIKA, AG",,,,,"   41",",,S","  102","H,,S"
"AGM00060471","2003-11-30","35.333","5.333","461.0","BARIKA, AG",,,"  176",",,S","   35",",,S","  116","H,,S"
"AGM00060471","2003-12-01","35.333","5.333","461.0","BARIKA, AG",,,"  160",",,S","   40",",,S","  115","H,,S"
"AGM00060471","2004-01-03","35.333","5.333","461.0","BARIKA, AG","    3",",,S","  112",",,S",,,"   77","H,,S"
"AGM00060471","2004-01-04","35.333","5.333","461.0","BARIKA, AG","    5",",,S","  108",",,S","    0",",,S","   67","H,,S"
"AGM00060471","2004-01-05","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  107",",,S","  -24",",,S","   51","H,,S"
"AGM00060471","2004-01-06","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  120",",,S","  -15",",,S","   58","H,,S"
"AGM00060471","2004-01-07","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  103",",,S","  -18",",,S","   51","H,,S"
"AGM00060471","2004-01-08","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  130",",,S","  -25",",,S","   58","H,,S"
"AGM00060471","2004-01-09","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  161",",,S","    2",",,S","   97","H,,S"
"AGM00060471","2004-01-10","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  186",",,S","   27",",,S","  119","H,,S"
"AGM00060471","2004-01-11","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  163",",,S","   46",",,S","  119","H,,S"
"AGM00060471","2004-01-12","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  195",",,S","   44",",,S","  114","H,,S"
"AGM00060471","2004-01-13","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  170",",,S","   15",",,S","  108","H,,S"
"AGM00060471","2004-01-15","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  159",",,S","   25",",,S","   92","H,,S"
"AGM00060471","2004-01-17","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  147",",,S","   35",",,S","  103","H,,S"
"AGM00060471","2004-01-20","35.333","5.333","461.0","BARIKA, AG","    0",",,S",,,"   -5",",,S","   66","H,,S"
"AGM00060471","2004-01-23","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  122",",,S","    6",",,S","   94","H,,S"
"AGM00060471","2004-01-24","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  170",",,S","   71",",,S","  136","H,,S"
"AGM00060471","2004-01-25","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  174",",,S","   60",",,S","  120","H,,S"
"AGM00060471","2004-01-26","35.333","5.333","461.0","BARIKA, AG","    0",",,S",,,"   44",",,S","  107","H,,S"
"AGM00060471","2004-01-27","35.333","5.333","461.0","BARIKA, AG","    0",",,S",,,"   46",",,S","  116","H,,S"
"AGM00060471","2004-01-28","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  131",",,S","   61",",,S","  112","H,,S"
"AGM00060471","2004-01-30","35.333","5.333","461.0","BARIKA, AG","    0",",,S",,,"   -7",",,S","   78","H,,S"
"AGM00060471","2004-02-01","35.333","5.333","461.0","BARIKA, AG","    0",",,S",,,"    7",",,S","   93","H,,S"
"AGM00060471","2004-02-03","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  190",",,S","   47",",,S","  127","H,,S"
"AGM00060471","2004-02-04","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  198",",,S","   50",",,S","  137","H,,S"
"AGM00060471","2004-02-05","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  184",",,S","   21",",,S","  117","H,,S"
"AGM00060471","2004-02-06","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  205",",,S","   19",",,S","  122","H,,S"
"AGM00060471","2004-02-07","35.333","5.333","461.0","BARIKA, AG",,,"  202",",,S",,,"  153","H,,S"
"AGM00060471","2004-02-08","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  199",",,S",,,"  124","H,,S"
"AGM00060471","2004-02-09","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  170",",,S","   68",",,S","  117","H,,S"
"AGM00060471","2004-02-10","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  165",",,S","   29",",,S","  107","H,,S"
"AGM00060471","2004-02-11","35.333","5.333","461.0","BARIKA, AG",,,"  167",",,S",,,"  128","H,,S"
"AGM00060471","2004-02-13","35.333","5.333","461.0","BARIKA, AG",,,,,"    2",",,S","  107","H,,S"
"AGM00060471","2004-02-14","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  181",",,S","   10",",,S","  101","H,,S"
"AGM00060471","2004-02-15","35.333","5.333","461.0","BARIKA, AG","    0",",,S","  167",",,S","   32",",,S","  113","H,,S"
"AGM00060471","2004-02-16","35.333","5.333","461.0","BARIKA, AG",,,"  167",",,S",,,"  133","H,,S"
